doc_id,category,gold_label,gold_text,gold_start,gold_end,overlapping_fp_labels,overlapping_fp_texts
5203,boundary,DATE,Anfang Juni 2024,339,355,DATE,Juni 2024
5266,omission,DATE,morgen,381,387,,
5273,boundary,JOB,Gründer und CEO,103,118,JOB|JOB,CEO|Gründer
5284,boundary,MONEY,CHF 5 pro Aktie,341,356,MONEY,CHF 5
5314,boundary,JOB,ETH-Ingenieurin,250,265,JOB|JOB,ETH-|in
5403,boundary,JOB,dipl. Architektin ETH,245,266,JOB,dipl. Architektin
5412,omission,JOB,Inhaber,94,101,,
5421,omission,MONEY,15%,302,305,,
5437,boundary,EDU,HSG,222,225,EDU,HSG-Absolvent
5480,boundary,EDU,MBA,346,349,EDU,MBA der INSEAD
5480,label,ORG,INSEAD,354,360,EDU,MBA der INSEAD
5482,omission,JOB,Inhaber,83,90,,
5486,omission,DATE,12 Monaten,202,212,,
5489,boundary,ORG,Neubau West AG,186,200,ORG,Mandantin Neubau West AG
5494,omission,JOB,Mitarbeiterin,327,340,,
5532,omission,DATE,morgen,408,414,,
5543,boundary,LOC,Zürich-Altstetten,82,99,LOC|LOC,Altstetten|Zürich
5580,omission,MONEY,EUR,357,360,,
5580,boundary,MONEY,CHF,340,343,MONEY,C
5609,boundary,EDU,HSG,326,329,EDU,HSG-Absolventin
5637,boundary,DATE,Ende Mai,424,432,DATE,Mai
5639,boundary,JOB,Inhaber und Geschäftsführer,23,50,JOB|JOB,Inhaber und|Geschäftsführer
5640,omission,JOB,Mitarbeiterinnen,325,341,,
5675,omission,DATE,Ende nächster Woche,368,387,,
5675,boundary,ORG,Précision Horlogère SA,42,64,ORG|ORG,Horlogère SA|Précision
5693,boundary,JOB,designierter CEO,112,128,JOB|JOB,des|CEO
5722,boundary,EMAIL,lukas.frei@swissmetal.ch,55,79,EMAIL|EMAIL,ukas.frei@swissmetal.ch|l
5754,omission,DATE,Juni,359,363,,
5780,omission,JOB,Inhaber,62,69,,
5800,boundary,LOC,Bern,89,93,LOC,Kanton Bern
5801,boundary,EDU,HSG,170,173,EDU,HSG-Absolventin
5854,label,JOB,HSG-Absolventin,236,251,EDU,HSG-Absolventin
5867,label,ORG,ETH Zürich,102,112,EDU,ETH Zürich
5917,omission,JOB,Exportrisikoversicherung,205,229,,
5919,boundary,JOB,VR-Mitglied,275,286,JOB,VR
5964,omission,DATE,Ende der Woche,369,383,,
5969,boundary,EDU,HSG,174,177,EDU,HSG-Absolvent
5992,boundary,JOB,Inhaber und Geschäftsführer,98,125,JOB|JOB,Inhaber|Geschäftsführer
6007,label,EDU,ETH-Ingenieur,410,423,JOB,ETH-Ingenieur
6037,label,JOB,ETH-Absolventin,109,124,EDU,ETH-Absolventin
6042,label,EDU,EPFL,64,68,ORG,EPFL
6079,omission,JOB,FX-Spezialisten,254,269,,
6079,omission,DATE,90 Tage,207,214,,
6105,label,JOB,HSG-Absolvent,258,271,EDU,HSG-Absolvent
6114,omission,JOB,Mitarbeiter,320,331,,
6156,boundary,AGE,38,130,132,AGE,38 Jahre
6193,boundary,ORG,Digital Solutions GmbH,50,72,ORG,Digital Solutions GmbH i.L
6211,boundary,AGE,58,363,365,AGE,58 Jahre
6214,boundary,ORG,Schweizer Präzisionstechnik AG,41,71,ORG|ORG,Schweizer|Präzisionstechnik AG
6215,boundary,EDU,HSG,133,136,EDU,HSG-Absolventin
6230,omission,DATE,Ende Monat,248,258,,
6237,boundary,LOC,Zürich-Altstetten,189,206,LOC|LOC,Altstetten|Zürich
6253,omission,JOB,TEF-Spezialisten,275,291,,
6304,boundary,ORG,Milano Meccanica S.p.A.,241,264,ORG,Milano Meccanica S.
6323,boundary,ORG,Lisboa Trading Lda.,188,207,ORG,Lisboa Trading L
6349,omission,JOB,Sohn,124,128,,
6371,label,EDU,Holzbau-Ingenieur FH,290,310,JOB,Holzbau-Ingenieur FH
6397,omission,JOB,Inhaber,60,67,,
6410,omission,DATE,Ende Monat,251,261,,
6431,omission,MONEY,EUR,296,299,,
6441,label,JOB,HSG-Absolventin,216,231,EDU,HSG-Absolventin
6442,boundary,JOB,designierte Geschäftsführer,266,293,JOB,Geschäftsführer
6457,label,EDU,dipl. Fleischsommelier,152,174,JOB,dipl. Fleischsommelier
6509,boundary,PHONE,+44 20 7123 4567,280,296,PHONE,+44 20 71
6513,boundary,EDU,ETH-Architektin,199,214,EDU,ETH-Architekt
6533,boundary,JOB,M&A-Berater,281,292,JOB,M&A
6548,omission,JOB,Inhaber,58,65,,
6580,label,EDU,ETH,179,182,JOB,ETH-Bauingenieurin
6580,boundary,JOB,Bauingenieurin,183,197,JOB,ETH-Bauingenieurin
6600,omission,JOB,Gründer,112,119,,
6600,boundary,ORG,Universität Bern,90,106,ORG,Bern
6601,omission,DATE,Ende Monat,300,310,,
6638,omission,DATE,Q4,327,329,,
6639,boundary,ORG,Riyadh Manufacturing Ltd,247,271,ORG,Riyadh Manufacturing Ltd.
6645,omission,LOC,"Rue du Rhône 15, 1204 Genf",143,169,,
6669,omission,MONEY,3 Monate,293,301,,
6672,omission,DATE,heute Abend,267,278,,
6693,boundary,LOC,Zürich-Oerlikon,388,403,LOC|LOC,Zürich|Oerlikon
6700,omission,LOC,Bahnhofstrasse 15,181,198,,
6700,omission,DATE,Ende nächster Woche,294,313,,
6733,omission,MONEY,CHF,139,142,,
6747,omission,MONEY,CHF,173,176,,
6758,omission,DATE,Ende Monat,334,344,,
6820,omission,MONEY,CHF,190,193,,
6838,omission,MONEY,CHF,229,232,,
6850,omission,DATE,sofort,286,292,,
6858,boundary,JOB,Partners,162,170,JOB,Partner
6883,label,EDU,ETH,195,198,JOB,ETH-Ingenieur
6910,omission,MONEY,EUR,356,359,,
6910,boundary,JOB,Assistentin der GL,148,166,JOB|JOB,Assistentin|GL
6910,omission,MONEY,USD,364,367,,
6919,omission,DATE,nächste Woche,244,257,,
6941,boundary,LOC,Kanton Graubünden,43,60,LOC,Graubünden
6973,boundary,ORG,Meier & Partner Consulting AG,6,35,ORG,Partner Consulting AG
