doc_id,category,gold_label,gold_text,gold_start,gold_end,overlapping_fp_labels,overlapping_fp_texts
5203,boundary,DATE,Anfang Juni 2024,339,355,DATE,Juni 2024
5205,omission,PER,Schmidt,340,347,,
5205,boundary,PER,Elena Schmidt,48,61,PER|PER,Schmidt|Dr. Elena Schmidt
5205,omission,DATE,2023,142,146,,
5208,omission,PER,Rochat,400,406,,
5217,omission,MONEY,CHF 9.8 Mio.,390,402,,
5224,boundary,MONEY,CHF 2.1 Mio.,186,198,MONEY,CHF 2.1 Mio
5231,omission,PER,Gasser,349,355,,
5237,omission,AGE,35-jähriger,205,216,,
5237,omission,DATE,2023,314,318,,
5243,omission,DATE,2024,182,186,,
5245,boundary,JOB,Leiterin Treasury,65,82,JOB,Leiterin
5246,omission,AGE,58-jährig,311,320,,
5246,omission,PER,Bachmann,301,309,,
5246,label,JOB,ETH-Ingenieur,419,432,EDU,ETH-Ingenieur
5257,omission,PER,Schmid,265,271,,
5263,omission,AGE,65-jährig,52,61,,
5264,omission,DATE,2023,159,163,,
5266,omission,PER,Li,343,345,,
5266,omission,DATE,morgen,381,387,,
5266,label,LOC,China,191,196,NATION,China
5267,boundary,PER,Andreas Meyer,47,60,PER,Dr. Andreas Meyer
5267,boundary,MONEY,CHF 4 Mio.,364,374,MONEY,CHF 4 Mio
5267,omission,LOC,Zürich,249,255,,
5273,boundary,JOB,Gründer und CEO,103,118,JOB,CEO
5273,boundary,PER,Luc Dubois,129,139,PER,Dr. Luc Dubois
5274,omission,DATE,2023,155,159,,
5278,label,NATION,US-amerikanischen,117,134,LOC,US-amerikanischen
5278,boundary,PER,Elena Fischer,44,57,PER,Dr. Elena Fischer
5284,boundary,DATE,2022,159,163,DATE,Jahresabschluss 2022
5284,boundary,MONEY,CHF 5 pro Aktie,341,356,MONEY,CHF 5
5284,boundary,PER,Anna Wyss,45,54,PER,Dr. Anna Wyss
5293,omission,PER,Fischer,379,386,,
5296,omission,PER,Schmid,376,382,,
5307,omission,PER,Dubois,355,361,,
5307,boundary,PER,Isabelle Dubois,47,62,PER|PER,Dr. Isabelle Dubois|Dubois
5308,omission,LOC,Zürich,175,181,,
5314,label,JOB,ETH-Ingenieurin,250,265,EDU,ETH-Ingenieurin
5318,boundary,PER,Claudia Wyss,99,111,PER,Dr. Claudia Wyss
5320,boundary,MONEY,CHF 3.5 Mio.,299,311,MONEY,CHF 3.5 Mio
5320,omission,DATE,2023,140,144,,
5336,boundary,PHONE,044 222 33 44,107,120,PHONE,(044 222 33 44
5343,label,JOB,ETH-Ingenieur,430,443,EDU,ETH-Ingenieur
5343,boundary,JOB,Inhaber,93,100,JOB,Inhaber und Geschäftsführer
5343,boundary,JOB,Geschäftsführer,105,120,JOB,Inhaber und Geschäftsführer
5343,omission,PER,Fischer,372,379,,
5346,omission,PER,Vogel,329,334,,
5351,omission,PER,Dubois,188,194,,
5355,boundary,PER,Elena Petrova,47,60,PER,Dr. Elena Petrova
5360,omission,PER,Herzog,233,239,,
5368,omission,PER,Keller,475,481,,
5368,omission,PER,Steiner,243,250,,
5374,omission,JOB,Liquidatorin,129,141,,
5376,omission,PER,Bachmann,438,446,,
5380,boundary,PER,Isabelle Renaud,56,71,PER|PER,Dr. Isabelle Renaud|Renaud
5380,omission,DATE,2023,155,159,,
5380,omission,PER,Renaud,297,303,,
5387,omission,NATION,französischer,338,351,,
5387,omission,PER,Fournier,325,333,,
5389,boundary,MONEY,CHF 10 Mio.,271,282,MONEY,CHF 10 Mio
5389,omission,DATE,2023,55,59,,
5389,boundary,PER,Eva Meier,110,119,PER,Dr. Eva Meier
5393,omission,PER,Fischer,228,235,,
5403,label,JOB,dipl. Architektin ETH,245,266,EDU,dipl. Architektin ETH
5403,omission,PER,Baumann,111,118,,
5407,omission,PER,Keller,190,196,,
5417,boundary,PER,Isabelle Schmidt,100,116,PER,Dr. Isabelle Schmidt
5421,omission,PER,Moretti,234,241,,
5421,label,LOC,Italien,220,227,NATION,Italien
5421,omission,MONEY,15%,302,305,,
5422,omission,PER,Berger,375,381,,
5422,omission,PER,Meier,391,396,,
5423,omission,PER,Bachmann,369,377,,
5428,boundary,PER,Elena Schmidt,49,62,PER,Dr. Elena Schmidt
5430,boundary,MONEY,CHF 12 Mio.,366,377,MONEY,CHF 12 Mio
5436,omission,PER,Graf,399,403,,
5437,omission,DATE,Ende Jahr,256,265,,
5437,boundary,EDU,HSG,222,225,EDU,HSG-Absolvent
5437,omission,AGE,64 Jahre,154,162,,
5440,omission,NATION,amerikanischen,307,321,,
5440,omission,PER,Lehmann,353,360,,
5445,omission,PER,Wyss,335,339,,
5445,label,LOC,Europa,206,212,NATION,Europa
5449,omission,MONEY,EUR 5 Mio.,291,301,,
5463,omission,JOB,Assistent,438,447,,
5469,omission,EDU,Hotelfachschule Lausanne,399,423,,
5469,omission,JOB,Inhaber,57,64,,
5469,omission,PER,Keller,310,316,,
5471,boundary,NATION,deutsche,367,375,NATION,deutsche Staatsbürgerin
5471,omission,PER,Fischer,247,254,,
5475,boundary,DATE,2023,245,249,DATE,Jahresabschluss 2023
5480,omission,PER,Steiner,263,270,,
5480,omission,EDU,MBA,346,349,,
5480,boundary,NATION,deutsche,318,326,NATION,deutsche Staatsbürgerin
5480,omission,ORG,INSEAD,354,360,,
5482,boundary,MONEY,CHF 3.2 Mio.,221,233,MONEY,CHF 3.2 Mio
5482,boundary,MONEY,CHF 2.5 Mio.,319,331,MONEY,CHF 2.5 Mio
5486,boundary,DATE,12 Monaten,202,212,DATE,12 Monate
5489,omission,PER,Graf,218,222,,
5490,omission,PER,Baumann,234,241,,
5492,omission,PER,Keller,243,249,,
5494,omission,JOB,Mitarbeiterin,327,340,,
5495,omission,AGE,62-jährigen,54,65,,
5504,omission,PER,Ziegler,269,276,,
5504,boundary,DATE,2023,134,138,DATE,Jahresabschluss 2023
5504,label,NATION,deutschen,227,236,LOC,deutschen
5504,omission,DATE,2024,311,315,,
5514,omission,PER,Graf,301,305,,
5521,omission,NATION,deutsche,278,286,,
5529,omission,PER,Wyss,290,294,,
5532,omission,DATE,morgen,408,414,,
5532,boundary,PER,Elena Vogel,52,63,PER|PER,Vogel|Dr. Elena Vogel
5532,omission,PER,Vogel,278,283,,
5539,omission,PER,Dubois,371,377,,
5543,boundary,PER,Urs Meier,114,123,PER,Dr. Urs Meier
5547,omission,PER,Vogel,480,485,,
5551,boundary,MONEY,CHF 3.0 Mio.,210,222,MONEY,CHF 3.0 Mio
5551,boundary,MONEY,CHF 4.2 Mio.,143,155,MONEY,CHF 4.2 Mio
5551,omission,JOB,Inhaber,24,31,,
5560,boundary,MONEY,USD 1.8 Mio.,251,263,MONEY,USD 1.8 Mio
5580,omission,PER,Graf,193,197,,
5580,omission,MONEY,CHF,340,343,,
5601,omission,DATE,2023,355,359,,
5601,omission,PER,Baumann,298,305,,
5603,omission,PER,Steiner,434,441,,
5609,boundary,EDU,HSG,326,329,EDU,HSG-Absolventin
5609,omission,PER,Steiner,267,274,,
5617,omission,JOB,Eigentümer,46,56,,
5626,omission,JOB,Mitarbeiter,113,124,,
5626,omission,PER,Moser,373,378,,
5637,boundary,DATE,2023,410,414,DATE,Jahresabschluss 2023
5637,omission,PER,Bianchi,258,265,,
5639,boundary,JOB,Inhaber und Geschäftsführer,23,50,JOB,Geschäftsführer
5640,boundary,MONEY,2 Mio.,430,436,MONEY,2 Mio
5640,omission,JOB,Mitarbeiterinnen,325,341,,
5640,omission,PER,Bieri,257,262,,
5642,label,LOC,Polen,198,203,NATION,Polen
5642,omission,NATION,asiatischen,233,244,,
5643,omission,PER,Schmid,405,411,,
5643,omission,PER,Frei,255,259,,
5652,boundary,PER,Elena Schmid,267,279,PER,Dr. Elena Schmid
5652,omission,PER,Frei,235,239,,
5670,omission,PER,Frischknecht,264,276,,
5671,boundary,PER,Valérie Dubois,37,51,PER,Dr. Valérie Dubois
5672,omission,PER,Aebischer,427,436,,
5675,omission,DATE,Ende nächster Woche,368,387,,
5678,omission,PER,Frei,221,225,,
5680,omission,PER,Dubois,214,220,,
5681,boundary,PER,Elena Bianchi,43,56,PER|PER,Dr. Elena Bianchi|Bianchi
5681,omission,PER,Bianchi,223,230,,
5686,boundary,MONEY,CHF 12.4 Mio.,211,224,MONEY,CHF 12.4 Mio
5693,label,JOB,dipl. Bauingenieur ETH,379,401,EDU,Bauingenieur ETH
5693,boundary,JOB,designierter CEO,112,128,JOB,CEO
5694,omission,NATION,französischer,306,319,,
5694,omission,PER,Richard,293,300,,
5694,boundary,MONEY,CHF 2.8 Mio.,274,286,MONEY,CHF 2.8 Mio
5696,omission,PER,Frey,231,235,,
5703,omission,PER,Li,181,183,,
5734,omission,PER,Fischer,244,251,,
5737,omission,DATE,2023,152,156,,
5739,omission,PER,Steiner,260,267,,
5743,omission,PER,Schmidt,351,358,,
5743,omission,MONEY,USD 12 Mio.,233,244,,
5748,boundary,LOC,Steffisburg,379,390,LOC,Industriegebiet von Steffisburg
5748,omission,PER,Fischer,495,502,,
5748,boundary,DATE,2023,453,457,DATE,Jahresabschluss 2023
5754,omission,PER,Baumann,249,256,,
5754,boundary,DATE,Juni,359,363,DATE,Ende Juni
5756,omission,PER,Brunner,419,426,,
5756,omission,AGE,68-jährigen,55,66,,
5756,label,JOB,ETH-Ingenieur,199,212,EDU,ETH-Ingenieur
5757,boundary,MONEY,CHF 4.8 Mio.,172,184,MONEY,CHF 4.8 Mio
5757,boundary,MONEY,CHF 1.2 Mio.,432,444,MONEY,CHF 1.2 Mio
5759,boundary,DATE,2023,168,172,DATE,Jahresabschluss 2023
5762,omission,PER,Bachmann,301,309,,
5767,omission,PER,Keller,437,443,,
5773,boundary,MONEY,EUR 50 Mio.,428,439,MONEY,EUR 50 Mio
5773,omission,PER,Dubois,446,452,,
5778,omission,PER,Frei,380,384,,
5780,omission,AGE,62-jährigen,50,61,,
5780,omission,JOB,Inhaber,62,69,,
5780,omission,PER,Brunner,352,359,,
5781,boundary,DATE,2023,424,428,DATE,Jahresabschlusses 2023
5781,boundary,PER,Ulrich Frisch,301,314,PER,Dr. Ulrich Frisch
5781,omission,PER,Steiner,260,267,,
5794,omission,PER,Keller,306,312,,
5799,boundary,JOB,Leiterin Treasury,70,87,JOB,Leiterin
5799,omission,PER,Bachmann,361,369,,
5801,omission,PER,Gfeller,156,163,,
5801,boundary,EDU,HSG,170,173,EDU,HSG-Absolventin
5801,omission,AGE,66 Jahre,100,108,,
5801,boundary,PER,Peter Hug,493,502,PER,Dr. Peter Hug
5802,omission,PER,Tanner,319,325,,
5811,boundary,PER,Eva Lang,25,33,PER,Dr. Eva Lang
5815,omission,JOB,Inhaber,55,62,,
5815,omission,PER,Bianchi,456,463,,
5826,omission,PER,Keller,310,316,,
5831,omission,JOB,Inhaber,25,32,,
5835,boundary,DATE,2022,390,394,DATE,Jahresabschluss 2022
5841,omission,DATE,2022,120,124,,
5841,boundary,PER,Martin Keller,44,57,PER,Dr. Martin Keller
5844,omission,PER,Herzog,311,317,,
5852,omission,PER,Meier,362,367,,
5854,omission,PER,Zuber,224,229,,
5854,omission,DATE,1. Januar 2025,262,276,,
5854,label,JOB,HSG-Absolventin,236,251,EDU,HSG-Absolventin
5859,boundary,MONEY,CHF 35 Mio.,228,239,MONEY,CHF 35 Mio
5859,omission,PER,Egger,350,355,,
5859,boundary,DATE,2023,118,122,DATE,Jahresabschluss 2023
5867,omission,PER,Richter,391,398,,
5867,omission,ORG,ETH Zürich,102,112,,
5868,omission,PER,Frei,194,198,,
5870,boundary,MONEY,CHF 18 Mio.,227,238,MONEY,CHF 18 Mio
5870,omission,PER,Berger,245,251,,
