doc_id,category,gold_label,gold_text,gold_start,gold_end,overlapping_fp_labels,overlapping_fp_texts
5193,omission,JOB,Geschäftsführer,137,152,,
5203,boundary,DATE,Anfang Juni 2024,339,355,DATE,Juni 2024
5203,omission,JOB,Export Managerin,54,70,,
5203,boundary,ORG,Swiss Machinery Export SA,79,104,ORG,Swiss Machinery
5205,omission,JOB,CFO,63,66,,
5205,boundary,PER,Schmidt,340,347,PER,Frau Schmidt
5205,omission,NATION,deutsche,357,365,,
5208,omission,JOB,CFO,156,159,,
5208,omission,JOB,CEO,121,124,,
5212,omission,JOB,Geschäftsführer,44,59,,
5217,omission,JOB,CFO,146,149,,
5217,omission,JOB,CEO,118,121,,
5224,omission,JOB,Leiter Finanzen,49,64,,
5231,omission,JOB,Leiterin Einkauf,37,53,,
5231,omission,JOB,CFO,388,391,,
5232,omission,ORG,Innovatec Solutions GmbH,42,66,,
5232,omission,JOB,Geschäftsführers,189,205,,
5237,omission,AGE,35-jähriger,205,216,,
5237,omission,EDU,HSG-Absolvent,217,230,,
5237,omission,JOB,Verwaltungsratspräsidenten,73,99,,
5237,omission,JOB,CEO,269,272,,
5243,omission,NATION,deutschen,286,295,,
5243,boundary,ORG,Modehaus Schneider GmbH,73,96,ORG,Schneider GmbH
5243,omission,NATION,österreichischen,265,281,,
5243,omission,JOB,Inhaberin,59,68,,
5245,boundary,ORG,Romandie Pharma SA,91,109,ORG,SA
5245,omission,JOB,Leiterin Treasury,65,82,,
5246,omission,AGE,58-jährig,311,320,,
5246,omission,JOB,Geschäftsführer,93,108,,
5246,boundary,PER,Bachmann,301,309,PER,Herr Bachmann
5246,label,ORG,Zuger Logistik GmbH,41,60,LOC,Zuger
5246,label,JOB,ETH-Ingenieur,419,432,ORG,ETH-Ingenieur
5252,omission,JOB,CEO,29,32,,
5257,boundary,ORG,Seoul Heavy Industries Ltd.,222,249,ORG,Seoul Heavy Industries Ltd
5257,omission,JOB,Head of Export,4,18,,
5263,boundary,DATE,Ende 2024,132,141,DATE,2024
5263,omission,AGE,65-jährig,52,61,,
5263,boundary,ORG,Vogel Transport GmbH,80,100,ORG,Vogel Transport
5264,label,JOB,Head of Treasury,45,61,ORG,Head of Treasury
5264,boundary,ORG,Global Trade Solutions SA,66,91,ORG,Global Trade Solutions
5266,boundary,ORG,East-West Trading Ltd.,314,336,ORG,East-West Trading Ltd.. Herr Li
5266,label,PER,Li,343,345,ORG,East-West Trading Ltd.. Herr Li
5266,label,JOB,Trade Finance Specialist,45,69,ORG,Trade Finance Specialist
5266,omission,DATE,morgen,381,387,,
5266,boundary,ORG,East-West Trading Ltd.,78,100,ORG,East-West Trading Ltd
5267,boundary,ORG,Innovate Software AG,216,236,ORG,Innovate Software
5267,label,JOB,Head of Corporate Development,62,91,ORG,Head of Corporate Development
5273,omission,JOB,CTO,374,377,,
5273,boundary,MONEY,EUR 75'000,302,312,MONEY,EUR 75'000.
5273,omission,JOB,Gründer und CEO,103,118,,
5274,omission,JOB,Leiterin Finanzen,60,77,,
